Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity
9,91,1.0,0.18847,0.95152,0.43873,0.46582,0.39928,0.50318
5,92,1.0,0.73479,0.64095,0.60954,0.41691,0.08546,0.07172
2,93,1.0,0.91851,1.00232,0.73545,0.33457,0.05327,0.22359
9,94,0.0,0.08308,1.02626,0.09131,0.34037,0.15603,0.22269
2,95,0.0,0.87867,0.80434,0.81325,0.35733,0.06413,0.14272
2,96,0.0,0.83223,0.91916,0.79081,0.09245,0.00227,0.24808
9,97,0.0,0.37545,1.04103,0.07612,0.31767,0.12504,0.16388
4,98,0.0,0.89537,1.17202,0.66825,0.57672,0.14234,0.21684
7,99,0.0,0.59066,0.73803,0.54909,0.59591,0.24249,0.42192
3,100,0.0,0.82819,1.3006,0.60268,0.43626,0.02666,0.3323
9,101,0.0,0.71206,1.07284,0.07566,0.30658,0.0306,0.18259
10,102,0.0,1.15406,0.92933,0.88213,0.07699,0.01397,0.0
5,103,0.0,1.02564,0.80001,0.83947,0.33916,0.04582,0.21854
2,104,0.0,1.12094,1.20215,0.75905,0.32112,0.02758,0.128
4,105,0.0,0.59532,0.95348,0.6951,0.40148,0.06825,0.23027
2,106,0.0,0.39047,0.85563,0.57379,0.47216,0.15072,0.22974
5,107,0.0,0.88113,0.60429,0.73793,0.26268,0.06358,0.06431
5,108,0.0,0.59867,0.92558,0.66015,0.24499,0.12905,0.11251
8,109,0.0,0.39753,0.43106,0.60164,0.4082,0.12569,0.21222
5,110,0.0,1.0088,0.54447,0.69805,0.30033,0.05863,0.38086
2,111,0.0,0.79907,1.20278,0.6739,0.25123,0.02961,0.15275
5,112,0.0,0.98549,0.81889,0.60237,0.0,0.13788,0.17922
9,113,0.0,0.92049,1.18468,0.27688,0.33207,0.08884,0.11973
9,114,0.0,0.54558,0.67954,0.40132,0.42342,0.04355,0.23087
9,115,0.0,0.271,1.03276,0.33475,0.25861,0.08079,0.18987
9,116,0.0,0.0712,0.78968,0.34201,0.28531,0.06232,0.24362
8,117,0.0,0.64499,0.38174,0.51529,0.39786,0.08492,0.26475
9,118,0.0,0.52107,1.01404,0.36878,0.10081,0.1466,0.19062
4,119,0.0,0.26673,0.74302,0.38847,0.24425,0.17175,0.46187
9,120,0.0,0.0,1.0012,0.09806,0.22605,0.07625,0.24834
8,121,0.0,0.35997,0.86449,0.56874,0.38282,0.05907,0.32296
9,122,0.0,0.19073,0.60406,0.44055,0.4345,0.15048,0.24325
9,123,0.0,0.33024,0.95571,0.0,0.4084,0.08786,0.21488
9,124,0.0,0.45407,0.86908,0.35874,0.24232,0.17461,0.219
9,125,0.0,0.36471,0.99876,0.41435,0.42215,0.05839,0.37542
9,126,0.0,0.44025,0.59207,0.36291,0.46074,0.28105,0.18093
2,127,0.0,0.76821,0.77711,0.7299,0.19847,0.039,0.07855
9,128,0.0,0.99355,1.10464,0.04776,0.49495,0.12474,0.10461
7,129,0.0,0.27108,0.70905,0.48246,0.44017,0.19034,0.79588
2,130,0.0,0.7419,0.38562,0.72926,0.40577,0.38331,0.05547
9,131,0.0,0.01604,0.41134,0.22562,0.43054,0.06977,0.33128
8,132,0.0,0.83524,1.01905,0.70806,0.53726,0.09179,0.40828
9,133,0.0,0.4225,0.88767,0.23402,0.49309,0.05786,0.20618
2,134,0.0,1.01216,1.10614,0.76649,0.30587,0.00872,0.11921
5,135,0.0,0.8818,0.747,0.61712,0.17288,0.06324,0.11291
5,136,0.0,0.54649,0.68093,0.40064,0.35571,0.07854,0.09131
9,137,0.0,0.75778,0.8604,0.16683,0.10384,0.07122,0.12344
9,138,0.0,0.26074,1.03526,0.20583,0.38857,0.12352,0.18798
9,139,0.0,0.67866,0.6629,0.31051,0.41466,0.11686,0.12388
9,140,0.0,0.23906,0.79273,0.36315,0.22917,0.199,0.17441
9,141,0.0,0.21102,1.13299,0.33861,0.45727,0.07267,0.29066
9,142,0.0,0.36498,0.97619,0.4354,0.36772,0.10713,0.20843
9,143,0.0,1.06024,0.90528,0.43372,0.31914,0.11091,0.06822
9,144,0.0,0.0694,0.77265,0.29707,0.47692,0.15639,0.19387
7,145,0.0,0.46038,0.62736,0.61114,0.66246,0.07247,0.40359
9,146,0.0,0.2852,1.00268,0.38215,0.32878,0.05747,0.34377
